;year;language;geonames_name;geonames_country;geonames_id;geonames_lat;geonames_lng;weight;country_codes;germany;map_year;region_country_name;pozn.
6544;1879;pol;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
16462;1879;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
16720;1879;eng;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
10107;1879;rus;St Petersburg;Russia;498817;59.93863;30.31413;1.0;RUS;;1815;Russia;
20071;1879;pol;Piotrkow Trybunalski;Poland;3088972;51.40547;19.70321;1.0;POL;;1815;Poland;
10095;1879;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
19624;1880;ger;Berlin;Germany;2950159;52.52437;13.41053;1.0;DEU;;1880;East Germany;
10792;1880;ger;Leipzig;Germany;2879139;51.33962;12.37129;1.0;DEU;;1880;East Germany;
13863;1880;slv;Ljubljana;Slovenia;3196359;46.05108;14.50513;1.0;SVN;;1880;Slovenia;
4349;1880;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1880;Czech Republic;
20073;1880;pol;Warsaw;Poland;756135;52.22977;21.01178;1.0;POL;;1880;Poland;
10779;1880;ger;Leipzig;Germany;2879139;51.33962;12.37129;1.0;DEU;;1880;East Germany;
27461;1880;fre;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1880;Czech Republic;
2504;1880;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1880;Czech Republic;
4971;1881;ger;Vienna;Austria;2761369;48.20849;16.37208;1.0;AUT;;1880;Austria;
16477;1881;rus;Moscow;Russia;524901;55.75222;37.61556;1.0;RUS;;1880;Russia;
4342;1881;ger;Mladå Boleslav;Czechia;3070544;50.41135;14.90318;1.0;CZE;;1880;Czech Republic;
3872;1881;srp;Pančevo;Serbia;787237;44.87177;20.64167;1.0;SRB;;1880;Serbia;
9818;1881;ger;Leipzig;Germany;2879139;51.33962;12.37129;1.0;DEU;;1880;East Germany;
10255;1881;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1880;Czech Republic;
19637;1881;ger;Berlin;Germany;2950159;52.52437;13.41053;1.0;DEU;;1880;East Germany;
14818;1881;ger;Vienna;Austria;2761369;48.20849;16.37208;1.0;AUT;;1880;Austria;
20946;1881;ger;Vienna;Austria;2761369;48.20849;16.37208;1.0;AUT;;1880;Austria;
15442;1881;hrv;Moscow;Russia;524901;55.75222;37.61556;1.0;RUS;;1880;Russia;
15448;1881;rus;Moscow;Russia;524901;55.75222;37.61556;1.0;RUS;;1880;Russia;
10782;1882;ger;Leipzig;Germany;2879139;51.33962;12.37129;1.0;DEU;;1880;East Germany;
10793;1882;ger;Leipzig;Germany;2879139;51.33962;12.37129;1.0;DEU;;1880;East Germany;
18036;1882;pol;Warsaw;Poland;756135;52.22977;21.01178;1.0;POL;;1880;Poland;
19712;1882;ger;Litoměřice;Czechia;3071677;50.53348;14.1318;1.0;CZE;;1880;Czech Republic;
21243;1882;pol;Warsaw;Poland;756135;52.22977;21.01178;1.0;POL;;1880;Poland;
9831;1883;ger;Leipzig;Germany;2879139;51.33962;12.37129;1.0;DEU;;1880;East Germany;
24282;1883;ger;Leipzig;Germany;2879139;51.33962;12.37129;1.0;DEU;;1880;East Germany;
26540;1883;wen;Bautzen;Germany;2951881;51.18035;14.43494;1.0;DEU;;1880;East Germany;
26539;1883;pol;Bautzen;Germany;2951881;51.18035;14.43494;1.0;DEU;;1880;East Germany;
27042;1883;wen;Bautzen;Germany;2951881;51.18035;14.43494;1.0;DEU;;1880;East Germany;
18953;1883;ger;Hradec KrålovÊ;Czechia;3074967;50.20923;15.83277;1.0;CZE;;1880;Czech Republic;
8619;1883;ukr;Kyiv;Ukraine;703448;50.45466;30.5238;1.0;UKR;;1880;Ukraine;
10791;1883;ger;Leipzig;Germany;2879139;51.33962;12.37129;1.0;DEU;;1880;East Germany;
8621;1883;ukr;Kyiv;Ukraine;703448;50.45466;30.5238;1.0;UKR;;1880;Ukraine;
20332;1883;pol;Warsaw;Poland;756135;52.22977;21.01178;1.0;POL;;1880;Poland;
8620;1883;ukr;Kyiv;Ukraine;703448;50.45466;30.5238;1.0;UKR;;1880;Ukraine;
10781;1883;ger;Leipzig;Germany;2879139;51.33962;12.37129;1.0;DEU;;1880;East Germany;
3937;1884;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1880;Czech Republic;
14855;1884;ger;Vienna;Austria;2761369;48.20849;16.37208;1.0;AUT;;1880;Austria;
10785;1884;ger;Leipzig;Germany;2879139;51.33962;12.37129;1.0;DEU;;1880;East Germany;
3440;1884;pol;Poznan;Poland;3088171;52.40692;16.92993;1.0;POL;;1880;Poland;
14881;1884;ger;Vienna;Austria;2761369;48.20849;16.37208;1.0;AUT;;1880;Austria;
20333;1884;pol;Warsaw;Poland;756135;52.22977;21.01178;1.0;POL;;1880;Poland;
20942;1884;ger;Vienna;Austria;2761369;48.20849;16.37208;1.0;AUT;;1880;Austria;
8584;1884;rus;Kyiv;Ukraine;703448;50.45466;30.5238;1.0;UKR;;1880;Ukraine;
25144;1884;eng;London;United Kingdom;2643743;51.50853;-0.12574;1.0;GBR;;1880;United Kingdom;
20278;1884;pol;Warsaw;Poland;756135;52.22977;21.01178;1.0;POL;;1880;Poland;
15446;1884;rus;Moscow;Russia;524901;55.75222;37.61556;1.0;RUS;;1880;Russia;
20971;1884;slv;Ljubljana;Slovenia;3196359;46.05108;14.50513;1.0;SVN;;1880;Slovenia;
9830;1884;ger;Leipzig;Germany;2879139;51.33962;12.37129;1.0;DEU;;1880;East Germany;
3423;1885;pol;Warsaw;Poland;756135;52.22977;21.01178;1.0;POL;;1880;Poland;
