,country,language,map_year,weights
555,Yugoslavia,eng,1967,1.0
556,Italy,swe,1967,1.5
557,Netherlands,fre,1967,1.0
558,Bulgaria,rus,1967,1.0
559,Italy,ger,1967,1.0
560,Switzerland,che,1967,1.0
561,Sweden,ger,1967,0.5
562,Czechoslovakia,che,1967,1.0
563,Albania,alb,1967,1.0
564,France,ger,1967,1.0
565,USSR,tgk,1967,1.0
566,Switzerland,swe,1967,0.25
567,West Germany,swe,1967,0.25
568,Poland,pol,1978,199.75
569,Netherlands,dut,1978,98.99999999999999
570,West Germany,ger,1978,465.9174603174602
571,France,fre,1978,283.33333333333337
572,Czechoslovakia,ger,1978,104.83333333333333
573,United States,eng,1978,146.76666666666665
574,Czechoslovakia,pol,1978,17.0
575,Czechoslovakia,fre,1978,25.0
576,Czechoslovakia,slo,1978,200.0
577,East Germany,ger,1978,303.47857142857134
578,Hungary,hun,1978,148.0
579,Indonesia,ind,1978,1.0
580,Austria,ger,1978,40.55396825396826
581,East Germany,wen,1978,10.5
582,Czechoslovakia,wen,1978,6.5
583,Sweden,swe,1978,76.33333333333334
584,USSR,lit,1978,3.0
585,Israel,heb,1978,30.0
586,Italy,slo,1978,2.0
587,Yugoslavia,mac,1978,8.0
588,Canada,fre,1978,2.8333333333333335
589,Brazil,por,1978,11.5
590,Italy,fre,1978,6.0
591,Denmark,dan,1978,29.0
592,Japan,jpn,1978,19.0
593,Belgium,fre,1978,9.5
594,Italy,ita,1978,101.0
595,United Kingdom,eng,1978,115.34999999999995
596,Norway,nor,1978,30.0
597,USSR,rus,1978,109.16666666666664
598,Switzerland,ger,1978,55.38333333333334
599,South Africa,afr,1978,3.0
600,Czechoslovakia,hun,1978,88.0
601,Switzerland,eng,1978,2.0
602,Turkey,tur,1978,22.0
603,Czechoslovakia,rus,1978,18.833333333333336
604,Yugoslavia,slv,1978,50.0
605,Liechtenstein,ger,1978,2.0
606,Greece,gre,1978,21.0
607,Czechoslovakia,eng,1978,33.25
608,Argentina,spa,1978,6.833333333333333
609,Colombia,spa,1978,2.8333333333333335
610,Finland,fin,1978,47.00000000000002
611,Hong Kong,chi,1978,1.0
612,Czechoslovakia,epo,1978,9.5
613,USSR,ukr,1978,14.0
614,USSR,est,1978,12.0
615,Austria,ita,1978,0.5
616,Bulgaria,bul,1978,34.0
617,Austria,fre,1978,1.0
618,Romania,rum,1978,38.0
619,Czechoslovakia,chv,1978,2.0
620,Switzerland,ita,1978,0.5
621,USSR,arm,1978,7.0
622,Italy,swe,1978,1.0
623,Thailand,tha,1978,1.0
624,USSR,aze,1978,2.0
625,Switzerland,fre,1978,8.333333333333332
626,Czechoslovakia,hrv,1978,4.0
627,China,chi,1978,26.0
628,Yugoslavia,hrv,1978,50.0
629,Spain,spa,1978,88.25
630,West Germany,swe,1978,0.6666666666666666
631,USSR,lav,1978,7.0
632,Mongolia,mon,1978,1.0
633,France,ger,1978,1.5
634,USSR,tuk,1978,1.0
635,Switzerland,swe,1978,0.6666666666666666
636,Cuba,spa,1978,12.666666666666666
637,Canada,ita,1978,3.0
638,Belgium,dut,1978,11.0
639,Romania,hun,1978,4.0
640,Switzerland,rus,1978,3.0
641,Portugal,por,1978,8.5
642,Czechoslovakia,spa,1978,13.0
643,Canada,eng,1978,23.63333333333333
644,Yugoslavia,srp,1978,34.0
645,Czechoslovakia,gre,1978,1.0
646,Hungary,eng,1978,7.5
647,USSR,kaz,1978,3.0
648,United Kingdom,ger,1978,4.0
649,France,hun,1978,2.0
650,West Germany,pol,1978,2.0
651,Czechoslovakia,dut,1978,3.0
652,Australia,eng,1978,5.75
653,Switzerland,hrv,1978,2.0
654,Czechoslovakia,slv,1978,4.0
655,Finland,swe,1978,0.3333333333333333
656,Czechoslovakia,ita,1978,3.0
657,USSR,uzb,1978,2.0
658,West Germany,fre,1978,2.0
659,Italy,ger,1978,1.0
660,Canada,rus,1978,2.0
661,Yugoslavia,alb,1978,3.0
662,West Germany,eng,1978,3.0
663,Spain,cat,1978,18.0
664,Netherlands,fry,1978,1.0
665,Dominican Republic,spa,1978,1.0
666,United States,slv,1978,1.0
667,Czechoslovakia,srp,1978,2.0
668,East Germany,hin,1978,1.0
669,Italy,epo,1978,0.5
670,USSR,ger,1978,2.0
671,"Korea, Republic of",kor,1978,7.0
672,Netherlands,eng,1978,1.75
673,Mexico,spa,1978,7.916666666666666
674,United Kingdom,dut,1978,1.0
675,USSR,rum,1978,2.0
676,Czechoslovakia,por,1978,2.0
